vel,ccf
-150.0,-0.0022117800045707856
-149.0,-0.0020309135502144565
-148.0,-0.0015719981345384618
-147.0,-0.0017668679064119053
-146.0,-0.0012153770672293082
-145.0,-0.0009713277655504383
-144.0,-0.0006723074565783325
-143.0,-0.000603602550457793
-142.0,-0.000575112557051807
-141.0,-0.0002971562458999042
-140.0,-0.00028006002336025963
-139.0,-0.00032306124615814067
-138.0,-0.0005478446258490397
-137.0,-0.0007192627120404089
-136.0,-0.0006379712256236326
-135.0,-0.0012008937842846075
-134.0,-0.0011579654795043563
-133.0,-0.0013198088074168291
-132.0,-0.0011426774262141546
-131.0,-0.0011562634445369552
-130.0,-0.0012035247577859053
-129.0,-0.001164620553968106
-128.0,-0.0015130946426324503
-127.0,-0.0009928498584279156
-126.0,-0.0010173592359290105
-125.0,-0.0012374233876830312
-124.0,-0.0010489410237637053
-123.0,-0.0012497046172656708
-122.0,-0.0012575869242654474
-121.0,-0.0010115745359202434
-120.0,-0.0008852309921194351
-119.0,-0.00047227510980783283
-118.0,-0.0005842603241738974
-117.0,-8.888928406823723e-05
-116.0,0.00035941141108720574
-115.0,0.0006487539393351738
-114.0,0.0009838413339419189
-113.0,0.0015499022509350988
-112.0,0.0016395902276845598
-111.0,0.0017721720141317071
-110.0,0.0019647329093711507
-109.0,0.0019464857563075036
-108.0,0.001826931165000309
-107.0,0.0016887764457069574
-106.0,0.0011791941429487387
-105.0,0.0008973513692964502
-104.0,0.0005452108015053546
-103.0,-0.00010645083677587961
-102.0,-0.0004865364185660287
-101.0,-0.0014983188193198674
-100.0,-0.0017684085042482351
-99.0,-0.002079836749549187
-98.0,-0.00264712520260617
-97.0,-0.0028847688913050023
-96.0,-0.002860283391004575
-95.0,-0.002233232593637665
-94.0,-0.0019616848232755775
-93.0,-0.0017921981011357916
-92.0,-0.0016236850957758787
-91.0,-0.0011477671540572418
-90.0,-0.0006922165671370943
-89.0,-0.00046131467872141717
-88.0,-0.0001518803815963761
-87.0,-0.00028283245032708444
-86.0,-0.00029994849024380776
-85.0,-0.00038277856554089066
-84.0,-0.0008936454552740127
-83.0,-0.0009724400642459928
-82.0,-0.0011200987987652696
-81.0,-0.0012509303339412851
-80.0,-0.0013830252147562913
-79.0,-0.0013674430243134522
-78.0,-0.001458086779131498
-77.0,-0.0015044788104480122
-76.0,-0.0014903954107877678
-75.0,-0.0009168478856323992
-74.0,-0.0009221734063517037
-73.0,-0.0009769886968463764
-72.0,-0.0008964912956180939
-71.0,-0.0007043121868543065
-70.0,-0.0006054334890087814
-69.0,-0.0005730370257034556
-68.0,-2.479765280263141e-05
-67.0,0.00023604995042201095
-66.0,0.0005299406401984852
-65.0,0.0007319050815432751
-64.0,0.0010212659291502731
-63.0,0.0014939538926977613
-62.0,0.0018076524469327784
-61.0,0.001967570727563442
-60.0,0.002302231952817935
-59.0,0.0022223413847101774
-58.0,0.0021040282170163346
-57.0,0.002131768735853581
-56.0,0.0017908952252904669
-55.0,0.001613988375499916
-54.0,0.0015285180167629521
-53.0,0.001130768220888691
-52.0,0.0006205197997546804
-51.0,0.00021938924142820963
-50.0,0.0003732501320750463
-49.0,0.0003560472060573425
-48.0,0.0005862637326201937
-47.0,0.0006132797319018672
-46.0,0.0007657406904160423
-45.0,0.0010588725340561435
-44.0,0.0011009695398567416
-43.0,0.0014376920185456164
-42.0,0.0017405634600298338
-41.0,0.0019332856838180194
-40.0,0.0022183359325578323
-39.0,0.0023844426265039512
-38.0,0.0024705218803082758
-37.0,0.0026273664272629103
-36.0,0.002513153378758344
-35.0,0.0026182480830385588
-34.0,0.002490563627367982
-33.0,0.0023240064718536993
-32.0,0.0020873624145087816
-31.0,0.001960477401503716
-30.0,0.0017126149860336784
-29.0,0.0014915783016577785
-28.0,0.0010631364946060706
-27.0,0.0009134430501742366
-26.0,0.0009166597911237302
-25.0,0.001002606900255295
-24.0,0.0010312532155776926
-23.0,0.001207694182829024
-22.0,0.001364522385861221
-21.0,0.00169511169266396
-20.0,0.002302200723498464
-19.0,0.0028387147238133083
-18.0,0.0034652819411466456
-17.0,0.004676662825015493
-16.0,0.005699132800034027
-15.0,0.006692397986052857
-14.0,0.00802993182629512
-13.0,0.009384109341453546
-12.0,0.010969493860734683
-11.0,0.01252996567293555
-10.0,0.014312936717456511
-9.0,0.01566522751488056
-8.0,0.017080438889250954
-7.0,0.018248847463482563
-6.0,0.019422905089445684
-5.0,0.020322827997572915
-4.0,0.020816846189221097
-3.0,0.02053094993149996
-2.0,0.020271441797454888
-1.0,0.019332783338097077
0.0,0.01784840227608364
1.0,0.01602541014439396
2.0,0.014584249117184362
3.0,0.01315750225801692
4.0,0.011865143431600934
5.0,0.010534642925732349
6.0,0.009448420123577255
7.0,0.008270407258578617
8.0,0.0071959302282254885
9.0,0.006390347555355809
10.0,0.005607377216866854
11.0,0.0049148252205447295
12.0,0.004331225641093971
13.0,0.00370149267937699
14.0,0.0030961944811572365
15.0,0.0024443884357181044
16.0,0.002163551674347628
17.0,0.0016289102237865899
18.0,0.0010094595953411031
19.0,0.000554853721782489
20.0,3.0146588034182754e-05
21.0,-0.000358857526735873
22.0,-0.0007061078072334113
23.0,-0.0011514791958639587
24.0,-0.0015357998953930566
25.0,-0.001729064802743447
26.0,-0.0018505488235751252
27.0,-0.002373971411717436
28.0,-0.002435661634891699
29.0,-0.0024607300640537583
30.0,-0.002805917219089714
31.0,-0.0027660886780440453
32.0,-0.00275366061318481
33.0,-0.002460977767913194
34.0,-0.002291854152975048
35.0,-0.002270737606144815
36.0,-0.0022009372159958965
37.0,-0.002388119882599235
38.0,-0.0019642928956480348
39.0,-0.0019007713414205298
40.0,-0.0021163111335444967
41.0,-0.0019060065820979506
42.0,-0.0021719162056435103
43.0,-0.0019405566989951924
44.0,-0.0017778053025918799
45.0,-0.0019637695881149705
46.0,-0.001902039150516257
47.0,-0.0016340047479821698
48.0,-0.0018994436429218575
49.0,-0.0020351600298129987
50.0,-0.002294078995854134
51.0,-0.002317182362569431
52.0,-0.0023900415593252483
53.0,-0.002298839492296079
54.0,-0.002217114324892847
55.0,-0.0023741390646954633
56.0,-0.0022668437375704103
57.0,-0.0019702898869936045
58.0,-0.0019435634003808805
59.0,-0.0018799972615320473
60.0,-0.0018124637480550583
61.0,-0.0014864481941988103
62.0,-0.0014426526138500862
63.0,-0.0014647618760935308
64.0,-0.0012314630018409262
65.0,-0.0013683508668410303
66.0,-0.0010287470824395795
67.0,-0.0008801403780656939
68.0,-0.0005962087452745291
69.0,-0.000284043974424145
70.0,-0.0001779390915067462
71.0,9.28460281343212e-05
72.0,0.0004418906595950005
73.0,0.0006294217600682013
74.0,0.0008299953978210305
75.0,0.0010415378932767687
76.0,0.0012497582395977187
77.0,0.0013039310890470236
78.0,0.001314138807263269
79.0,0.001620866055394344
80.0,0.0017034474775183695
81.0,0.0019748105510902616
82.0,0.0019401949513213421
83.0,0.002123031194669145
84.0,0.002132706275263271
85.0,0.0020303548926353387
86.0,0.002383579857051035
87.0,0.0025018861578713575
88.0,0.0023401902158090757
89.0,0.0019197093766192986
90.0,0.0017176521703676356
91.0,0.0013341325624969913
92.0,0.001300720623709846
93.0,0.0006920934576886734
94.0,0.00016416484070097635
95.0,0.00010110703861770736
96.0,3.4597340520409756e-05
97.0,-0.00027463025815428147
98.0,-0.00039563982224506385
99.0,-0.0006784254008113805
100.0,-0.0005821449042239968
101.0,-0.0006227895419152671
102.0,-0.0007192270672204629
103.0,-0.00048634359922658304
104.0,-0.0005156001541255237
105.0,-0.00014274814845203023
106.0,2.4797652802631626e-05
107.0,0.00037099973579326085
108.0,0.00032662203030099776
109.0,0.0005312591077911832
110.0,0.0003353010673290506
111.0,0.00039986967377481715
112.0,0.0006384935712324714
113.0,0.0003857937513852554
114.0,0.00021747844128927347
115.0,0.00011105609233685323
116.0,7.319614238364956e-05
117.0,-0.00015357212674794746
118.0,0.0002285713214800057
119.0,0.00029657604653230904
120.0,0.0005451280522908795
121.0,0.00039954407884554744
122.0,0.00044164872892024816
123.0,0.0006480619948382158
124.0,0.0005943033158985712
125.0,0.0007511915250323004
126.0,0.0004766359962441078
127.0,0.0002612639410429366
128.0,0.00021387262063794548
129.0,-7.901209711840516e-05
130.0,-0.0002752177202779923
131.0,-0.0006490975217934819
132.0,-0.0010130653575839976
133.0,-0.0011901187027639234
134.0,-0.0011452560124072869
135.0,-0.0013347134516630919
136.0,-0.0011856501556686948
137.0,-0.0008876619670124689
138.0,-0.0010980188352465903
139.0,-0.0009750723175575224
140.0,-0.0006453635282282725
141.0,-0.000727105018441947
142.0,-0.00045138711152267925
143.0,-0.00035270772808491035
144.0,-0.00017934536811301752
145.0,3.243056154302363e-05
146.0,-0.00014573539471872377
147.0,-0.0004545822514053664
148.0,-0.0008739729997583241
149.0,-0.00084641759550152
